1,200,500,1,1,1
2,200,500,2,2,2
3,200,500,3,3,3
4,200,500,4,4,4
5,200,500,5,5,5
6,200,500,1,6,6
7,200,500,2,7,7
8,200,500,3,8,8
9,200,500,4,9,9
10,200,500,5,10,10
11,200,500,1,11,1
12,200,500,2,12,2
13,200,500,3,13,3
14,200,500,4,14,4
15,200,500,5,15,5
16,200,500,1,16,6
17,200,500,2,17,7
18,200,500,3,18,8
19,200,500,4,19,9
20,200,500,5,20,10
21,200,500,1,1,1
22,200,500,2,2,2
23,200,500,3,3,3
24,200,500,4,4,4
25,200,500,5,5,5
26,200,500,1,6,6
27,200,500,2,7,7
28,200,500,3,8,8
29,200,500,4,9,9
30,200,500,5,10,10
31,200,500,1,11,1
32,200,500,2,12,2
33,200,500,3,13,3
34,200,500,4,14,4
35,200,500,5,15,5
36,200,500,1,16,6
37,200,500,2,17,7
38,200,500,3,18,8
39,200,500,4,19,9
40,200,500,5,20,10
41,200,500,1,1,1
42,200,500,2,2,2
43,200,500,3,3,3
44,200,500,4,4,4
45,200,500,5,5,5
46,200,500,1,6,6
47,200,500,2,7,7
48,200,500,3,8,8
49,200,500,4,9,9
50,200,500,5,10,10
